lc_time;T_in1;T_in2;T_wall_in;T_wall_out;T_outside;T_outside_PT;T_chamber;T_chamber1;T_leaf1;T_leaf2;T_leaf_in;Wind;T_dew;Air_inflow;Air_outflow;nr_time;T_leaf_IR;V_leaf_IR;Rn_above_leaf;Rn_below_leaf;Rn_beside_leaf;RnV_above_leaf;RnV_below_leaf;RnV_beside_leaf;sens_timefirst;sens_timelast;water_flow_avg;water_flow_std;water_flow_n;pow_timefirst;pow_timelast;fan_power_avg;fan_power_std;fan_power_n;Comment
TS;K;K;K;K;K;Deg C;K;K;K;K;K;m/s;degC;SLPM;SLPM;TS;Deg C;mV;W/m^2;W/m^2;W/m^2;mV;mV;mV;;;ul/min;ul/min;ul/min;TS;TS;W;W;;
2014-03-27 11:22:28;15.30;15.41;21.98;21.97;21.88;25.24;22.00;21.67;20.29;21.07;18.41;0.8333;10.21;6.827;3.491;2014-03-27 11:22:29;20.30;-0.07058;9.835;-3.912;-13.66;-0.01177;0.004074;0.01766;2014-03-27 11:22:19;2014-03-27 11:22:26;-4.825;0.1412;100;2014-03-27 11:21:28;2014-03-27 11:22:27;1.195;0.0003885;54;Black leaf, silver perforated alu (35.4-1), varying wind speed
2014-03-27 13:01:58;15.54;15.65;22.22;22.26;22.22;25.53;22.22;21.95;20.72;21.46;18.72;1.313;10.21;6.427;3.324;2014-03-27 13:02:01;20.41;-0.06664;10.02;-3.833;-16.85;-0.01199;0.003993;0.02180;2014-03-27 13:01:48;2014-03-27 13:01:55;-5.543;0.1600;100;2014-03-27 13:00:59;2014-03-27 13:01:58;1.181;0.0004875;54;varying wind speed
2014-03-27 14:04:25;15.68;15.80;22.41;22.40;22.37;25.69;22.43;22.17;21.05;21.76;18.95;1.796;10.21;6.251;3.274;2014-03-27 14:04:23;20.36;-0.06849;10.02;-3.781;-17.83;-0.01198;0.003939;0.02307;2014-03-27 14:04:10;2014-03-27 14:04:17;-6.124;0.1336;100;2014-03-27 14:03:24;2014-03-27 14:04:23;1.185;0.0003885;54;varying wind speed
2014-03-27 15:55:10;15.74;15.85;22.40;22.42;22.36;25.61;22.42;22.18;21.22;21.85;19.06;2.299;10.21;6.140;3.202;2014-03-27 15:55:11;19.58;-0.09654;9.917;-3.843;-17.14;-0.01187;0.004003;0.02218;2014-03-27 15:55:01;2014-03-27 15:55:08;-6.583;0.1710;100;2014-03-27 15:54:09;2014-03-27 15:55:08;1.169;0.0004755;55;varying wind speed
2014-03-27 17:01:01;15.90;16.02;22.43;22.48;22.40;25.81;22.45;22.22;21.42;21.96;19.24;2.995;10.21;5.851;3.136;2014-03-27 17:01:03;20.03;-0.08036;8.408;-3.625;-16.34;-0.01006;0.003776;0.02114;2014-03-27 17:00:38;2014-03-27 17:00:48;-7.255;0.1174;100;2014-03-27 17:00:04;2014-03-27 17:01:03;1.144;0.0000;54;varying wind speed
2014-03-27 19:00:22;15.88;15.99;22.40;22.38;22.21;25.57;22.46;22.24;21.53;22.03;19.38;3.831;10.20;5.750;3.057;2014-03-27 19:00:26;19.20;-0.1106;8.123;-3.345;-14.00;-0.009719;0.003485;0.01811;2014-03-27 19:00:07;2014-03-27 19:00:17;-8.006;0.1148;100;2014-03-27 18:59:24;2014-03-27 19:00:23;1.155;0.0004130;55;varying wind speed
2014-03-28 10:08:04;15.46;15.57;21.81;21.91;21.85;25.20;21.85;21.67;20.98;21.44;18.93;3.804;10.20;6.147;3.245;2014-03-28 10:08:10;19.58;-0.09655;8.239;-2.960;-12.37;-0.009857;0.003085;0.01600;2014-03-28 10:07:52;2014-03-28 10:08:02;-7.736;0.1666;100;2014-03-28 10:07:07;2014-03-28 10:08:06;1.159;0.0001872;55;New day
2014-03-28 11:29:49;15.71;15.83;22.23;22.21;22.15;25.57;22.24;22.08;21.38;21.84;19.29;4.335;10.20;5.858;3.204;2014-03-28 11:29:51;19.47;-0.1005;8.058;-3.227;-12.36;-0.009641;0.003363;0.01599;2014-03-28 11:29:27;2014-03-28 11:29:37;-7.984;0.08737;100;2014-03-28 11:28:49;2014-03-28 11:29:48;1.174;0.0004692;55;New day
2014-03-28 13:47:28;15.80;15.90;22.35;22.28;22.21;25.57;22.31;22.16;21.54;21.99;19.46;5.102;10.20;5.858;3.131;2014-03-28 13:47:29;19.50;-0.09967;6.985;-3.328;-12.71;-0.008357;0.003468;0.01643;2014-03-28 13:47:18;2014-03-28 13:47:27;-8.505;0.1932;100;2014-03-28 13:46:29;2014-03-28 13:47:28;1.186;0.0004914;54;Reduced head difference (transpiration seemed low)
2014-03-28 15:04:55;15.76;15.86;22.38;22.34;22.20;25.53;22.37;22.21;21.55;22.01;19.44;4.611;10.20;5.855;3.163;2014-03-28 15:04:56;19.39;-0.1037;7.228;-3.377;-12.89;-0.008648;0.003519;0.01667;2014-03-28 15:04:45;2014-03-28 15:04:55;-8.219;0.1147;100;2014-03-28 15:03:56;2014-03-28 15:04:55;1.182;0.0003857;55;Reduced head difference (transpiration seemed low)
2014-03-28 15:38:46;15.77;15.86;22.30;22.37;22.30;25.57;22.33;22.08;21.44;21.94;19.34;4.168;10.21;5.948;3.144;2014-03-28 15:38:49;19.42;-0.1023;7.755;-3.358;-12.98;-0.009278;0.003499;0.01679;2014-03-28 15:38:37;2014-03-28 15:38:47;-7.979;0.1037;100;2014-03-28 15:37:49;2014-03-28 15:38:47;1.168;0.001412;54;Varying Tdew
2014-03-31 12:42:52;16.15;16.28;23.06;23.06;22.93;26.30;23.10;22.89;22.13;22.64;19.90;3.325;10.20;5.259;2.863;2014-03-31 12:42:54;19.57;-0.09719;8.972;-3.413;-14.55;-0.01074;0.003556;0.01882;2014-03-31 13:42:34;2014-03-31 13:42:41;-7.484;0.09733;100;2014-03-31 13:41:52;2014-03-31 13:42:51;1.147;0.0001906;53;New daz
2014-03-31 14:49:10;16.20;16.33;23.25;23.34;23.21;26.63;23.28;23.04;22.17;22.75;19.91;2.637;10.18;5.346;2.915;2014-03-31 14:49:14;19.81;-0.08855;9.860;-3.661;-16.83;-0.01180;0.003814;0.02177;2014-03-31 15:48:56;2014-03-31 15:49:03;-7.032;0.1764;100;2014-03-31 15:48:12;2014-03-31 15:49:11;1.147;0.0000;53;Varying wind
2014-03-31 16:28:13;16.03;16.16;23.37;23.41;23.29;26.63;23.38;23.08;21.63;22.51;19.59;1.042;10.19;5.857;3.016;2014-03-31 16:28:15;19.31;-0.1065;10.95;-4.276;-14.55;-0.01310;0.004454;0.01881;2014-03-31 17:28:06;2014-03-31 17:28:13;-5.120;0.1585;100;2014-03-31 17:27:14;2014-03-31 17:28:13;1.147;0.0000;53;Varying wind
